,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,tip_amount,tolls_amount,congestion_surcharge,airport_fee,PUZone,DOZone,PULat,PULong,DOLat,DOLong,duration,speed_minutes,hour_pickup,minute_pickup,day_pickup,peak_hour
3043622,1.0,1.449,249,114,6.0,1.0,2.06,0.0,2.5,0.0,Gramercy,Battery Park City,40.7368,-73.9845,40.71131,-74.0159,6.866666666666666,0.21101941747572817,16,45,27,0
208456,1.0,1.2880000000000003,141,141,6.5,2.5,0.0,0.0,2.5,0.0,Midtown North,East Chelsea,40.754932,-73.984016,40.742352,-74.00621,17.166666666666668,0.07502912621359224,10,1,3,0
942942,1.0,1.127,151,238,5.0,3.5,1.85,0.0,2.5,0.0,Upper East Side North,Flatiron,40.7641,-73.956,40.7401,-73.9903,4.016666666666667,0.2805809128630705,16,59,9,0
247636,1.0,2.7692,87,148,8.5,1.0,2.56,0.0,2.5,0.0,East Village,East Chelsea,40.7265,-73.9815,40.742352,-74.00621,10.45,0.26499521531100484,16,30,3,0
3052006,1.0,2.4794,42,24,8.0,1.0,1.96,0.0,0.0,0.0,Gramercy,Battery Park City,40.7368,-73.9845,40.71131,-74.0159,8.5,0.2916941176470588,18,45,27,0
3073378,4.0,1.9159,161,48,7.0,0.5,2.16,0.0,2.5,0.0,Gramercy,Lincoln Square West,40.7368,-73.9845,40.77677997,-73.98296006,8.116666666666667,0.23604517453798765,21,24,27,0
3423926,1.0,2.8658,163,234,9.0,1.0,2.66,0.0,2.5,0.0,East Williamsburg,University Heights/Morris Heights,40.708,-73.9399,40.85183,-73.91626,10.583333333333334,0.2707842519685039,18,53,31,0
778070,2.0,2.7048,161,107,9.5,0.5,0.0,0.0,2.5,0.0,Murray Hill,East Village,40.7479,-73.9757,40.7265,-73.9815,12.0,0.22540000000000002,22,12,7,0
1577940,1.0,1.61,249,211,10.0,2.5,2.65,0.0,2.5,0.0,Greenwich Village South,TriBeCa/Civic Center,40.73211001,-73.99648007,40.71626,-74.01257993,15.683333333333334,0.10265674814027631,19,39,14,1
2675864,1.0,1.4329,24,238,6.0,0.0,1.0,0.0,2.5,0.0,Upper West Side South,Midtown East,40.787,-73.9754,40.7509,-73.96442,6.25,0.22926400000000002,14,48,24,1
2079183,1.0,1.9803000000000002,162,140,7.5,0.0,2.16,0.0,2.5,0.0,Sutton Place/Turtle Bay North,Upper East Side South,40.75801217,-73.96019998,40.7736,-73.9566,9.716666666666667,0.20380445969125216,9,2,19,1
1519188,1.0,1.9964000000000002,234,100,8.0,0.0,0.0,0.0,2.5,0.0,Upper East Side South,Upper East Side North,40.7736,-73.9566,40.7641,-73.956,10.266666666666667,0.19445454545454546,11,26,14,0
1008508,1.0,1.0626000000000002,236,236,4.5,0.0,1.2,0.0,2.5,0.0,Lincoln Square East,West Chelsea/Hudson Yards,40.7742,-73.9849,40.75341588,-74.00002199,3.5,0.30360000000000004,9,21,10,1
771656,1.0,3.0268,164,68,10.5,0.5,0.0,0.0,2.5,0.0,Murray Hill,East Village,40.7479,-73.9757,40.7265,-73.9815,14.6,0.2073150684931507,21,43,7,0
787324,1.0,7.212800000000001,148,261,17.5,0.5,4.26,0.0,2.5,0.0,Manhattan Valley,East Village,40.797045,-73.969725,40.7265,-73.9815,16.966666666666665,0.42511591355599226,0,22,8,0
1346701,2.0,2.0930000000000004,142,100,9.5,0.5,2.66,0.0,2.5,0.0,Flatiron,Midtown Center,40.7401,-73.9903,40.7588,-73.97291,13.383333333333333,0.15638854296388546,22,16,12,0
1402181,1.0,1.7227000000000001,230,170,9.0,0.0,1.84,0.0,2.5,0.0,Upper East Side South,Park Slope,40.7736,-73.9566,40.6711,-73.9814,13.25,0.13001509433962266,13,53,13,1
340950,1.0,3.0429,229,186,12.0,0.0,3.06,0.0,2.5,0.0,West Village,Central Park,40.7347,-74.0048,40.76748004,-73.97069005,17.083333333333332,0.1781209756097561,12,44,4,0
1422152,1.0,1.8515,234,107,8.0,1.0,1.84,0.0,2.5,0.0,Upper East Side South,Upper East Side North,40.7736,-73.9566,40.7641,-73.956,10.916666666666666,0.1696030534351145,16,43,13,0
800629,1.0,1.127,233,164,5.5,2.5,1.75,0.0,2.5,0.0,Manhattan Valley,East Village,40.797045,-73.969725,40.7265,-73.9815,6.2,0.1817741935483871,8,55,8,0
910347,1.0,3.5420000000000007,231,68,10.5,2.5,3.0,0.0,2.5,0.0,Upper East Side North,Flatiron,40.7641,-73.956,40.7401,-73.9903,11.583333333333334,0.3057841726618705,11,57,9,0
3446096,1.0,3.4615,234,231,9.5,0.5,2.66,0.0,2.5,0.0,Elmhurst,Canarsie,40.738,-73.8801,40.64364,-73.90069,10.4,0.33283653846153843,21,4,31,0
146078,1.0,0.9338,107,164,5.0,1.0,1.86,0.0,2.5,0.0,Midtown North,Midtown South,40.754932,-73.984016,40.754932,-73.984016,4.5,0.2075111111111111,16,15,2,0
678866,1.0,4.025,144,25,9.5,3.0,2.0,0.0,2.5,0.0,Murray Hill,Union Sq,40.7479,-73.9757,40.7359,-73.9911,7.5,0.5366666666666667,1,44,7,0
2516510,1.0,1.8193,164,233,7.0,0.5,1.0,0.0,2.5,0.0,Kips Bay,Kips Bay,40.73955,-73.97708,40.73955,-73.97708,7.766666666666667,0.23424463519313304,0,50,23,0
890033,1.0,28.046200000000006,79,132,52.0,0.0,8.0,6.55,2.5,0.0,Upper East Side North,Yorkville West,40.7641,-73.956,40.7712,-73.9495,43.03333333333333,0.6517319907048801,7,43,9,0
920405,1.0,2.254,236,237,8.0,2.5,2.26,0.0,2.5,0.0,Upper East Side North,Flatiron,40.7641,-73.956,40.7401,-73.9903,9.8,0.22999999999999998,13,53,9,0
1877678,1.0,2.8336,230,48,11.5,0.0,2.96,0.0,2.5,0.0,Midtown Center,Lenox Hill East,40.7588,-73.97291,40.7662,-73.9602,16.733333333333334,0.1693386454183267,15,11,17,0
